age,gender,genre
34,1,Classical
26,0,Acoustic
39,0,Classical
27,0,Acoustic
16,1,HipHop
30,1,Jazz
42,1,Classical
30,0,Acoustic
33,0,Classical
22,0,Dance
27,1,Jazz
21,0,Dance
32,1,Classical
29,1,Jazz
30,1,Jazz
39,1,Classical
45,0,Classical
33,0,Classical
18,0,Dance
19,0,Dance
23,0,Dance
34,1,Classical
16,1,HipHop
37,0,Classical
23,1,HipHop
24,0,Dance
34,0,Classical
16,0,Dance
42,1,Classical
45,0,Classical
20,1,HipHop
37,1,Classical
32,0,Classical
31,1,Classical
33,0,Classical
41,1,Classical
15,1,HipHop
31,1,Classical
17,0,Dance
44,1,Classical
19,1,HipHop
28,0,Acoustic
25,0,Acoustic
41,1,Classical
35,1,Classical
34,0,Classical
21,0,Dance
36,0,Classical
24,1,HipHop
20,0,Dance
33,1,Classical
24,0,Dance
39,1,Classical
26,0,Acoustic
22,0,Dance
36,1,Classical
36,0,Classical
34,1,Classical
20,0,Dance
20,0,Dance
33,0,Classical
31,0,Classical
37,1,Classical
16,1,HipHop
44,1,Classical
41,0,Classical
41,1,Classical
24,0,Dance
20,0,Dance
24,1,HipHop
27,0,Acoustic
33,0,Classical
38,0,Classical
22,1,HipHop
31,0,Classical
24,1,HipHop
41,1,Classical
37,0,Classical
41,1,Classical
19,1,HipHop
27,1,Jazz
23,0,Dance
39,1,Classical
22,1,HipHop
36,0,Classical
42,0,Classical
41,0,Classical
31,1,Classical
38,1,Classical
27,0,Acoustic
20,1,HipHop
32,1,Classical
38,1,Classical
23,1,HipHop
30,0,Acoustic
36,0,Classical
25,0,Acoustic
34,0,Classical
27,0,Acoustic
37,1,Classical
35,1,Classical
44,1,Classical
25,1,Jazz
39,0,Classical
22,0,Dance
17,1,HipHop
19,0,Dance
15,0,Dance
39,1,Classical
32,0,Classical
28,1,Jazz
35,1,Classical
27,1,Jazz
21,0,Dance
44,1,Classical
29,1,Jazz
29,0,Acoustic
23,1,HipHop
19,0,Dance
26,1,Jazz
33,1,Classical
39,0,Classical
26,1,Jazz
38,0,Classical
42,0,Classical
18,0,Dance
39,1,Classical
21,0,Dance
40,0,Classical
19,0,Dance
19,0,Dance
30,0,Acoustic
19,0,Dance
29,0,Acoustic
24,0,Dance
20,1,HipHop
40,0,Classical
32,0,Classical
15,0,Dance
21,1,HipHop
32,0,Classical
40,1,Classical
39,1,Classical
21,1,HipHop
38,1,Classical
40,0,Classical
28,1,Jazz
39,0,Classical
44,0,Classical
36,0,Classical
24,1,HipHop
38,1,Classical
40,1,Classical
28,0,Acoustic
